no,year_province_district,province_district,province,district,size_liras,size_dollars,houses,category,year,month,completion,project_name,firm
35,2003_ardahan_merkez,ardahan_merkez,ardahan,merkez,0,0,192,idare_konut,2003,,%100,ardahan merkez karagol,kuzu Toplu konut insaat Ltd sti
43,2003_artvin_ardanuc,artvin_ardanuc,artvin,ardanuc,1389500,1024627.027,168,idare_konut,2003,,%100,artvin _ ardanuc 168 konut,pakt aydinlar Turz Teks ins san Tic Ltd sti&amp;Ranas Teks Tur egt ins Taah san Tic Ltd st
11,2003_artvin_merkez,artvin_merkez,artvin,merkez,3860000,2846391.02,112,idare_konut,2003,,%100,artvin merkez seyier koyu,ortek inssan Ve TicLtdsti ve Tekesinler inssan Ve TicLtdsti is ortakligi
2,2003_aydin_incirliova,aydin_incirliova,aydin,incirliova,4214000,3107433.098,142,tarimkoy,2003,,%100,aydin incirliova acarlar,burakgazi insithihrmadsanVe TicLtdsti
33,2003_balikesir_dursunbey,balikesir_dursunbey,balikesir,dursunbey,21476000,15836552.73,48,idare_konut,2003,,%100,balikesir dursunbey ciftci mah,dag yapi insTekssanVe TicLtdsti
12,2003_balikesir_merkez,balikesir_merkez,balikesir,merkez,9737000,7180131.959,296,idare_konut,2003,,%100,balikesir merkez aysebaci mevki (1 bolge),simsekler insVe TurTaahTicLtdsti
13,2003_batman_merkez,batman_merkez,batman,merkez,17023000,12552879.36,608,idare_konut,2003,,%100,batman Tilmerc 608 adet konut insaati,durmaz otopeturinssanTicLtdsti
14,2003_bayburt_merkez,bayburt_merkez,bayburt,merkez,4489000,3310220.023,144,idare_konut,2003,,%100,bayburt merkez singah mah,ali acar inssan ve TicLtdsti
15,2003_bilecik_merkez,bilecik_merkez,bilecik,merkez,5556000,4097033.292,208,idare_konut,2003,,%100,bilecik merkez 208 adet konut,inta muh mim ins san Tic Ltd sti
4,2003_bingol_genc,bingol_genc,bingol,genc,4134240,3048617.516,80,afet_konutu,2003,,%100,bingol genc yenisehir  1 bolge,sura muhendislik san Ve Tic as
5,2003_bingol_genc,bingol_genc,bingol,genc,2933000,2162814.731,112,afet_konutu,2003,,%100,bingol genc yenisehir  2 bolge,ermit muhendislik ins san Ve Tic Ltd sti
27,2003_bingol_kigi,bingol_kigi,bingol,kigi,2660000,1961502.62,89,tarimkoy,2003,,%99,bingol kigi yazgunu (Tarimkoy),Umut ins Tic Turz san Ltd sti
1,2003_bingol_merkez,bingol_merkez,bingol,merkez,0,0,480,afet_konutu,2003,,,bingol (Tobb) 480 adet konut insaati,yavuzlar nakTurinsTekssanVe Ticas
1,2003_bingol_merkez,bingol_merkez,bingol,merkez,2485000,1832456.395,,danismanlik_hizmetleri,2003,,%100,bingol_merkez_Uydukent+sd._genc (2208),yuksel proje Uluslararasi as
2,2003_bingol_merkez,bingol_merkez,bingol,merkez,8220000,6061485.54,224,afet_konutu,2003,,%100,bingol merkez Uydukent duzagac 3 bolge,altindag insTaahTicithihrLtdsti
3,2003_bingol_merkez,bingol_merkez,bingol,merkez,10562010,7788500.108,288,afet_konutu,2003,,%100,bingol merkez Uydukent duzagac 4 bolge,Tepe inssanas
15,2003_bingol_merkez,bingol_merkez,bingol,merkez,17293108,12752058.89,448,afet_konutu,2003,5,%100,bingol merkez Uydukent duzagac 1 bolge,Turan hazinedaroglu insTicas
16,2003_bingol_merkez,bingol_merkez,bingol,merkez,14028592,10344781.94,368,afet_konutu,2003,5,%100,bingol merkez Uydukent duzagac 2 bolge,baytur insTaahas
17,2003_bingol_merkez,bingol_merkez,bingol,merkez,7919477,5839877.776,208,afet_konutu,2003,8,%100,bingol 1 bolge ekinyolu,ictas inssanVe Ticas
16,2003_bitlis_merkez,bitlis_merkez,bitlis,merkez,8600000,6341700.2,288,idare_konut,2003,,%100,bitlis merkez Rahva 1 etap,barsa ins Tic Ltd sti
17,2003_bitlis_Tatvan,bitlis_Tatvan,bitlis,Tatvan,8000000,5899256,256,idare_konut,2003,,%100,bitlis Tatvan karsiyaka mah,pekhan insTickolsti
2,2003_bolu_merkez,bolu_merkez,bolu,merkez,1965000,1449004.755,,danismanlik_hizmetleri,2003,,%93,bolu_merkez. corum_sungurlu. kayseri_merkez 23 bolge. kirsehir_kaman sd. konya_eregli sd_aksehir sd. 3380 konut,prokon muhVe musas &amp; beser muhmusLtdsti
7,2003_bursa_nilufer,bursa_nilufer,bursa,nilufer,28107000,20726298.55,720,konut_sosyal_donati,2003,,%100,bursa nilufer hasanaga ii kisim + sosyal donati (ilkogretim okulu. alisveris merkezi. kafeterya. spor salonu. camii su basmani),intes ins san Ve Tic as&amp; ilsan ins san Ve Tic Ltd sti is ortakligi
18,2003_bursa_orhangazi,bursa_orhangazi,bursa,orhangazi,9257000,6826176.599,260,idare_konut,2003,,%100,bursa orhangazi Tekke mah,aram inselkurtithihrTaahsan Ve TicLtdsti
444,2003_canakkale_merkez,canakkale_merkez,canakkale,merkez,4594000,3387647.758,144,idare_konut,2003,,%98,canakkale kepez 144 konut insaati,gurbuz insaat san ve Tic Ltd sti
19,2003_cankiri_korgun,cankiri_korgun,cankiri,korgun,3498897,2580111.14,104,idare_konut,2003,,%100,cankiri korgun Uludag,Feza insTicTurzVe sanLtdsti
6,2003_cankiri_kursunlu,cankiri_kursunlu,cankiri,kursunlu,13890000,10242583.23,384,konut_sosyal_donati,2003,,%100,cankiri kursunlu konut + sosyal donati. ilkogretim16. cami. sadirvan. Ticaret merkezi,irden insaat ve Tic Ltd sti
1,2003_cankiri_merkez,cankiri_merkez,cankiri,merkez,6213000,4581509.691,222,tarimkoy,2003,,%100,cankiri merkez inanckoy (Tarimkoy),bedirhan ozturk
5,2003_denizli_cal,denizli_cal,denizli,cal,8850000,6526051.95,192,konut_sosyal_donati,2003,,%100,denizli cal konut + Ticaret merkezi,Zek_san ins Tic Ve san Ltdsti
5,2003_denizli_merkez,denizli_merkez,denizli,merkez,5900000,4350701.3,192,kentsel_donusum,2003,,%100,denizli merkez dokuzkavaklar 2 etap,ozemekyapi inssanVe TicLtdsti
20,2003_diyarbakir_merkez,diyarbakir_merkez,diyarbakir,merkez,15776000,11633332.83,576,idare_konut,2003,,%100,diyarbakir silbe 576 konut insaati,kocoglu ins Ve san Tic as
21,2003_duzce_merkez,duzce_merkez,duzce,merkez,13295000,9803826.065,558,idare_konut,2003,,%100,duzce merkez nalbantoglu,emay insTaah sanTicas
22,2003_duzce_merkez,duzce_merkez,duzce,merkez,0,0,25,idare_konut,2003,,,duzce nalbantoglu,
1,2003_erzincan_merkez,erzincan_merkez,erzincan,merkez,2841000,2094973.287,153,kentsel_donusum,2003,,%100,erzincan merkez gecitkoy menguceli mah,saka insTicsanLtdsti
13,2003_erzurum_askale,erzurum_askale,erzurum,askale,4362000,3216569.334,96,afet_konutu,2003,,%100,erzurum  askale kandilli,omer osman kilinc insmadLdtsti
47,2003_erzurum_merkez,erzurum_merkez,erzurum,merkez,6950000,5124978.65,240,idare_konut,2003,11,%100,erzurum ilica,kontas ins mad san Tic ith ihr Ltd sti
42,2003_eskisehir_merkez,eskisehir_merkez,eskisehir,merkez,72608000,53541647.46,144,idare_konut,2003,,%100,eskisehir ertugrulgazi mah (144 konut),siyah kalem muhinssan Ve TicLtdsti&amp;ittifak insTeksgidTurotoelkic Ve dis TicsanLtdsti
1,2003_gumushane_siran,gumushane_siran,gumushane,siran,0,0,96,konut_sosyal_donati,2003,,%100,gumushane siran konut + sosyal donati (ticaret merkezi. cami. sadirvan. kutuphane),basyazicioglu insgida Ve TicLtdsti&amp; Tas insTurLtdsti &amp; ayhan demirci insTur Ve TicLtdsti
14,2003_hakkari_merkez,hakkari_merkez,hakkari,merkez,11650000,8590791.55,192,afet_konutu,2003,,%100,hakkari gupsi cami. ticaret merkezi,Zirve insaat TicLtdsti
23,2003_hakkari_merkez,hakkari_merkez,hakkari,merkez,5985000,4413380.895,192,idare_konut,2003,,%100,hakkari merkez 2 etap,gul_is  ins san  Tic Ltd sti
6,2003_hakkari_semdinli,hakkari_semdinli,hakkari,semdinli,2735000,2016808.145,108,afet_konutu,2003,,%100,hakkari baglar afet konutu,ermit muhendislik ins san Ve Tic Ltd sti
7,2003_hakkari_semdinli,hakkari_semdinli,hakkari,semdinli,1445000,1065553.115,44,afet_konutu,2003,,%100,hakkari semdinli afet konutu insati,sark ins Tur Taahmadislsan Ve Tic Ltd sti
40,2003_hakkari_semdinli,hakkari_semdinli,hakkari,semdinli,6300000,4645664.1,112,idare_konut,2003,,%100,hakkari semdinli 64 konut + cukurca 48 konut,erek ins Taah Turz Tic Ve san Ltd sti
4,2003_hakkari_yuksekova,hakkari_yuksekova,hakkari,yuksekova,8469000,6245099.883,156,konut_sosyal_donati,2003,,%100,hakkari yuksekova konut + Ticaret merkezi. camii. sadirvan,Zirve insaat TicLtdsti
24,2003_hatay_merkez,hatay_merkez,hatay,merkez,16195000,11942306.37,392,idare_konut,2003,,%100,hatay antakya gunyazi,mahit Topal_capa ortak girisimi
46,2003_isparta_merkez,isparta_merkez,isparta,merkez,5784000,4265162.088,168,idare_konut,2003,10,%100,isparta merkez cunur mah,iskar ins san Ve Tic as
23,2003_istanbul_bakirkoy,istanbul_bakirkoy,istanbul,bakirkoy,223692204,164952197.1,950,gelir_paylasimli,2003,11,%82,istanbul atakoy konuari 6 mahilkogretim_16,mutlu insaat Ticve san as Ve ortaklari ortak  girisimi
5,2003_istanbul_buyukcekmece,istanbul_buyukcekmece,istanbul,buyukcekmece,14630000,10788264.41,179,gelir_paylasimli,2003,,%100,istanbul bahcesehir 9 bolge (spRadon),kuzu Toplu konut insaat Ltd sti
32,2003_istanbul_catalca,istanbul_catalca,istanbul,catalca,0,0,392,idare_konut,2003,,,istanbul catalca hadimkoy 1 etap + sosyal donati. (Ticaret merkezi. cami. sadirvan),
1,2003_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,59678946,44007672.53,1364,gelir_paylasimli,2003,,%100,istanbul kucukcekmece  halkali (olympiakent) 1 etap,soyak insaat ve Ticaret as
2,2003_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,24862000,18333412.83,912,kentsel_donusum,2003,,%100,istanbul kucukcekmece halkali (182/1) 1 kisim,Tek_art ins as
3,2003_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,78857100,58149777.54,1368,gelir_paylasimli,2003,,%100,istanbul  kucukcekmece halkali  iV bolge + cami,ozsaya insas &amp; guner insLtdsti ortak girisimi
3,2003_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,16162862,11918607.58,576,kentsel_donusum,2003,,%100,istanbul kucukcekmece halkali (182/1) 2 kisim + sosyal donati (ilkogretim 32. Ticaret merkezi. spor salonu),Tek_art ins as
4,2003_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,78857100,58149777.54,1362,gelir_paylasimli,2003,,%100,istanbul  kucukcekmece halkali  iV bolge+cami (gyo),ozsaya insas &amp; guner insLtdsti ortak girisimi
4,2003_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,26938755,19864826.51,1152,kentsel_donusum,2003,,%100,istanbul kucukcekmece halkali (182/1) 3 kisim,Tek_art ins as
6,2003_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,13089483,9652276.391,264,gelir_paylasimli,2003,,%100,istanbul kucukcekmece halkali iii bolge (451/1 parsel),Turan hazinedaroglu &amp; ozyazici ortak girisimi
22,2003_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,28771155,21216051.1,292,gelir_paylasimli,2003,,%96,istanbul   kcekmece halkali   ii bolge (447/1 parsel),albayrak Turzsey Tic as
39,2003_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,606563,447283.8021,20,idare_konut,2003,,%100,istanbul ikitelli gocmen konuari,2g ins _ aydur ins ortak girisimi
45,2003_izmir_karsiyaka,izmir_karsiyaka,izmir,karsiyaka,11230780,8281655.787,122,idare_konut,2003,,%100,izmir mavisehir,Ulusal insaat
8,2003_izmir_seferihisar,izmir_seferihisar,izmir,seferihisar,7624520,5622374.42,180,afet_konutu,2003,,%100,izmir seferihisar Turabiye,pakt insTicLtdsti
9,2003_izmir_Urla,izmir_Urla,izmir,Urla,2898560,2137418.434,72,afet_konutu,2003,,%100,izmir Urla Rustem mah,ekintas inssanve Ticas
36,2003_karaman_ayranci,karaman_ayranci,karaman,ayranci,0,0,64,idare_konut,2003,,%100,karaman ayranci,eryapi san ve Tic koll sti
25,2003_kars_merkez,kars_merkez,kars,merkez,10680000,7875506.76,180,idare_konut,2003,,%100,kars merkez karacaoren mahallesi 180 konut insaati,kuzu Toplu konut insaat Ltd sti
30,2003_kilis_merkez,kilis_merkez,kilis,merkez,9110000,6717777.77,224,idare_konut,2003,,%100,kilis merkez 1 bolge,sira elektrik insaat TaahsanTicLtdsti
26,2003_kocaeli_gebze,kocaeli_gebze,kocaeli,gebze,715473,527594.7985,20,idare_konut,2003,,%100,kocaeli gebze gocmen konuari,bedirhan ozturk
37,2003_konya_halkapinar,konya_halkapinar,konya,halkapinar,0,0,80,idare_konut,2003,,%100,konya halkapinar koprubasi,ozekip inssanVe Tic Ltd sti &amp; hedef ins Tic Ve san Ltd sti is ortakligi
2,2003_manisa_Turgutlu,manisa_Turgutlu,manisa,Turgutlu,20084000,14810082.19,384,konut_sosyal_donati,2003,,%100,manisa Turgutlu +sosyal donati (ilkogretim_24. Ticaret merkezi),erkut insaat yapi end san ve Tic as
10,2003_mus_bulanik,mus_bulanik,mus,bulanik,5672850,4183199.3,144,afet_konutu,2003,,%100,mus bulanik,eryapi san ve Tic koll sti
445,2003_ordu_unye,ordu_unye,ordu,unye,19241000,14188448.09,448,idare_konut,2003,,%93,ordu unye Ticaret merkezi. cami. sadirvan ( 140 alt gelir),kobalt ins Tur Tic as
11,2003_Rize_merkez,Rize_merkez,Rize,merkez,6798000,5012892.786,372,afet_konutu,2003,,%100,Rize (kavakli. bagdai. islampasa. atmeydani. muftu) afet konutu,yuksel ins as ve Tekesinler ins san Ve Tic Ltd sti ortak girisimi
1,2003_sakarya_merkez,sakarya_merkez,sakarya,merkez,4977000,3670074.639,182,idare_konut,2003,,%100,sakarya adapazari korucuk 1 etap a bolgesi 182 konut insaati,emay insTaah sanTicas
2,2003_sakarya_merkez,sakarya_merkez,sakarya,merkez,6500000,4793145.5,256,idare_konut,2003,,%100,sakarya adapazari korucuk 1 eatp b bolgesi 256 konut insaati,kontas ins mad san Tic ith ihr Ltd sti
3,2003_sakarya_merkez,sakarya_merkez,sakarya,merkez,4588000,3383223.316,148,idare_konut,2003,,%100,sakarya adapazari korucuk 1 etap c bolgesi 148 konut insaati,asil inssanTicLtdsti
4,2003_sakarya_merkez,sakarya_merkez,sakarya,merkez,6349000,4681797.043,226,idare_konut,2003,,%100,sakarya adapazari korucuk 1 etap d bolgesi 226 konut insaati,cakarlar inssanLtdsti
27,2003_sanliurfa_merkez,sanliurfa_merkez,sanliurfa,merkez,10979000,8095991.453,432,idare_konut,2003,,%100,sanliurfa merkez akabe 2 bolge,ilci inssan Ve Ticas &amp; intes ins san Ve Tic as
28,2003_sanliurfa_merkez,sanliurfa_merkez,sanliurfa,merkez,9412000,6940474.684,216,idare_konut,2003,,%100,sanliurfa merkez akabe 1 bolge,soyak insaat ve Ticaret as
3,2003_sirnak_merkez,sirnak_merkez,sirnak,merkez,28170000,20772755.19,272,konut_sosyal_donati,2003,,%100,sirnak  2 etap  (konut 96) + ilkogretim24. Ticaret merkezi. cami _ sirnak idil  (konut 80). Ticaret merkezi _ sirnak guclukonak (konut 48) Ticaret merkezi _ sirnak cizre ilkogretim 24 _ sirnak Uludere (konut 48) Ticaret merkezi _ hakkari mrkz cami. Ticaret merkezi._ hakkari cami onarimi,arikan insaat Taah &amp; seckin insaat
38,2003_sivas_merkez,sivas_merkez,sivas,merkez,8000000,5899256,288,idare_konut,2003,,%100,sivas merkez ishani 1 bolge,a_yapi inssanVe TicLtdsti
34,2003_Tokat_merkez,Tokat_merkez,Tokat,merkez,17850000,13162714.95,480,idare_konut,2003,,%100,Tokat merkez dedeli 3 bolge (320 alt gelir),yildizlar ins Ve Ticas
31,2003_Trabzon_akcaabat,Trabzon_akcaabat,Trabzon,akcaabat,9548000,7040762.036,288,idare_konut,2003,,%100,Trabzon akcaabat yildizli 1 etap 96 konut alt gelir. camii,kobalt ins Tur Tic as
12,2003_Tunceli_pulumur,Tunceli_pulumur,Tunceli,pulumur,2500000,1843517.5,48,afet_konutu,2003,,%100,Tunceli pulumur afet konuari,eryapi san ve Tic koll sti
81,2004_adana_yuregir,adana_yuregir,adana,yuregir,19982000,14734866.67,588,alt_gelir,2004,,%99,adana kargakekec 2 bolge ilkogretim 24. saglik ocagi. cami. sadirvan. Ticaret merkezi (alt gelir grubu),ozekip inssanVe Tic Ltd sti &amp; hedef ins Tic Ve san Ltd sti is ortakligi
446,2004_adiyaman_besni,adiyaman_besni,adiyaman,besni,6730800,4963339.036,240,idare_konut,2004,6,%98,adiyaman besni pinarbasi mah 240 adet konut insaati,karatas insmakVe sanTicas
75,2004_afyonkarahisar_sandikli,afyonkarahisar_sandikli,afyonkarahisar,sandikli,6883000,5075572.381,192,idare_konut,2004,10,%100,afyonkarahisar sandikli cakir mah,ser insVe TicLtdsti
7,2004_ankara_cankaya,ankara_cankaya,ankara,cankaya,12879000,9497064.753,480,kentsel_donusum,2004,11,%100,ankara protokol yolu 1 bolge 400 konut,mehmet celik ins Taah Tic Ve san Ltd sti
25,2004_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,57985235,42758718.19,1154,gelir_paylasimli,2004,7,%98,ankara eryaman 8_9 etaplar + alisveris (Ticaret) merkezi,kontas insmadsanTicithihrLtdsti &amp; canberk insTursan Ve TicLtdsti ortak girisimi
26,2004_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,33000000,24334431,534,gelir_paylasimli,2004,10,%97,ankara eryaman 10 etap konut + Ticaret merkezi. yuzme havuzu. anaokulu,kontas insmadsanTicithihrLtdsti &amp; canberk insTursan Ve TicLtdsti ortak girisimi
28,2004_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,5622196,4145846.686,,altyapi_sosyal,2004,,%100,ankara eryaman 6 etap genel altyapi insaati isi,ekit inssan ve Ticas
30,2004_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,6241843,4602778.721,,altyapi_sosyal,2004,,%100,ankara eryaman 6 etap i kisim sosyal donati (lise 32. ilkogretim okulu 24. anaokulu. carsi. sosyal Tesis ve 2 spor salonu) insaati,martas Ulusl Tas ins Ve Tic Ltd sti
51,2004_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,49370000,36405783.59,1660,idare_konut,2004,3,%100,ankara eryaman 1660 konut (oyak),gestas insTicVe sanas
61,2004_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,21495000,15850563.47,768,idare_konut,2004,4,%100,ankara eryaman 7 etap i kisim (poLsan),altindag insTaahTicithihrLtdsti
62,2004_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,21660000,15972235.62,808,idare_konut,2004,4,%100,ankara eryaman 7 etap ii kisim,Ve_na insTaahithihrsanVe TicLtdsti
63,2004_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,21600000,15927991.2,760,idare_konut,2004,4,%100,ankara eryaman 7 etap iii kisim,Turan hazinedaroglu insTicas
89,2004_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,17200000,12683400.4,472,idare_konut,2004,12,%100,ankara eryaman 6 etap oyak ii kisim (3 bolge),kur insTic Ve san as
90,2004_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,14949000,11023497.24,384,idare_konut,2004,12,%100,ankara eryaman 6 etap oyak ii kisim   (1 bolge),Tuna inssanas
27,2004_ankara_mamak,ankara_mamak,ankara,mamak,2150000,1585425.05,,altyapi_sosyal,2004,8,%100,ankara mamak ilkogretim okulu. ticaret merkezi. spor salonu. saglik ocagi ve cevre duzenleme insaati,Ugur muhinselktsan Ve Tic Ltd sti
73,2004_ankara_sincan,ankara_sincan,ankara,sincan,9273000,6837975.111,288,idare_konut,2004,,%100,ankara Temelli 1 bolge,nahya insTicTurzLtdsti
82,2004_ankara_sincan,ankara_sincan,ankara,sincan,29738000,21929009.37,932,idare_konut,2004,11,%100,ankara sincan yenikent 1 bolge 932 konut,oz_kar ins Tic ve san as
84,2004_ankara_sincan,ankara_sincan,ankara,sincan,29833000,21999063.03,960,idare_konut,2004,11,%100,ankara yenikent 3 bolge (meb) 960 konut,ceylan insaat Ltd sti
449,2004_ankara_sincan,ankara_sincan,ankara,sincan,17700092,13052171.74,432,idare_konut,2004,10,%100,ankara Temelli 2 bolge + sosyal donati (ilkogretim(16). saglik ocagi. cami sub. sadirvan) ve cevre duzenleme,gunsayil ins Tic Ve san Ltd sti
451,2004_ankara_sincan,ankara_sincan,ankara,sincan,27744296,20458838.08,896,idare_konut,2004,11,%99,ankara sincan yenikent 2 bolge (meb) 896 konut,Uransan dis Tic Taah yatas
72,2004_bilecik_bozuyuk,bilecik_bozuyuk,bilecik,bozuyuk,9913000,7309915.591,288,idare_konut,2004,,%100,bilecik bozuyuk 288 konut insaati isi,Lena ins san Tur Tic Ltd sti
4,2004_bilecik_pazaryeri,bilecik_pazaryeri,bilecik,pazaryeri,4352500,3209563.968,122,tarimkoy,2004,6,%100,bilecik pazaryeri 122 adet konut insaati isi (Tarimkoy),martas UlusTasinsve TicLtdsti
24,2004_bingol_merkez,bingol_merkez,bingol,merkez,516000,380502.012,,altyapi_sosyal,2004,6,%100,bingol Toplu konut alani ve adaici altyapi insaati isi,onal insTaahut TurznakpetsanTicLtdsti
65,2004_bitlis_ahlat,bitlis_ahlat,bitlis,ahlat,7555000,5571109.885,220,idare_konut,2004,5,%100,bitlis ahlat  erkizan (108). Tunus mah (112),ser insaat Tic Ltdsti
447,2004_bursa_nilufer,bursa_nilufer,bursa,nilufer,25333000,18680731.53,864,idare_konut,2004,,%99,bursa nilufer hasanaga i kisim,ceylan insaat Ltd sti
58,2004_diyarbakir_merkez,diyarbakir_merkez,diyarbakir,merkez,31539000,23257079.37,960,idare_konut,2004,4,%100,diyarbakir silbe 3 etap,kocoglu ins Ve san Tic as
29,2004_duzce_merkez,duzce_merkez,duzce,merkez,376447,277594.6529,,altyapi_sosyal,2004,,%100,duzce Ticaret merkezi,ai ins san ve Tic as
80,2004_edirne_ipsala,edirne_ipsala,edirne,ipsala,13489000,9946883.023,304,alt_gelir,2004,,%92,edirne ipsala konut (160 altgelir)+ Ticaret merkezi. cami. sadirvan,inta muh mim ins san Tic Ltdsti
79,2004_elazig_merkez,elazig_merkez,elazig,merkez,10480000,7728025.36,264,idare_konut,2004,10,%100,elazig merkez yaprakli mah 1 bolge,aknet inssanVe Ticas
74,2004_elazig_palu,elazig_palu,elazig,palu,7185000,5298269.295,192,idare_konut,2004,10,%100,elazig palu,Zekai dursun insTur Tic as&amp; aba ins san Ve Tic as is ortakligi
86,2004_erzincan_kemaliye,erzincan_kemaliye,erzincan,kemaliye,1219992,899630.6407,40,idare_konut,2004,12,%100,erzincan kemaliye Tasdibi,selahattin yildirim
31,2004_erzincan_merkez,erzincan_merkez,erzincan,merkez,1324000,976326.868,,altyapi_sosyal,2004,10,%100,erzincan merkez menguceli Toplu konut alani sosyal donati (carsi. acik spor alanlari. kafeterya. camii),Varan ins Tic koll sti&amp; akdemir ins ith ihr mad Tic Ve san Ltd sti adi ortakligi
6,2004_erzurum_merkez,erzurum_merkez,erzurum,merkez,9240000,6813640.68,280,kentsel_donusum,2004,11,%100,erzurum merkez dere mah yildizkent 1 bolge,pekerler ins Ve Tickollsti
81,2004_gumushane_kelkit,gumushane_kelkit,gumushane,kelkit,9337680,6885670.596,112,idare_konut,2004,11,%100,gumushane kelkit buyukcami + sosyal donati (ticaret merkezi. cami. sadirvan),basyazicioglu insgida Ve TicLtdsti&amp; Tas insTurLtdsti &amp; ayhan demirci insTur Ve TicLtdsti
50,2004_gumushane_merkez,gumushane_merkez,gumushane,merkez,5999000,4423704.593,192,idare_konut,2004,2,%100,gumushane merkez baglarbasi mah,kontas ins mad san Tic ith ihr Ltd sti
25,2004_istanbul_buyukcekmece,istanbul_buyukcekmece,istanbul,buyukcekmece,159155,117362.0111,,altyapi_sosyal,2004,8,%100,istanbul bahcesehir antik merkez ve cevre duzenleme insaati isi,3k insTur san ve Tic as
7,2004_istanbul_kadikoy,istanbul_kadikoy,istanbul,kadikoy,56760000,41855221.32,800,gelir_paylasimli,2004,7,%100,istanbul kozyatagi,baytur insTaahas
23,2004_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,1580000,1165103.06,,altyapi_sosyal,2004,3,%100,istanbul halkali 3 etap sosyal donati (ilkogretim24. 2 Ticaret merkezi. cami sub),demars ins Turz Tic Ltd sti
24,2004_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,96772432,71360668.76,2228,gelir_paylasimli,2004,6,%97,istanbul kucukcekmece  halkali 4 etap (664) ve 3etap (1564) (olympiakent) 2 etap,soyak insaat ve Ticaret as
8,2004_istanbul_umraniye,istanbul_umraniye,istanbul,umraniye,16573500,12221414.91,354,gelir_paylasimli,2004,8,%100,istanbul umraniye Tasdelen,mehmet celik_buket ins_Tokal ins_hat san ins ortak girisimi
