year,month,province,district,project_name,firm,category,order,completion,liras,houses
2005,12,adana,yuregir,"adana yuregir sosyal donati (ilkogretim(24), ticaret merkezi)",binsa ins.med.gida petr.nak. tem.guv.tic. san. ltd.sti.,altyapi_sosyal,625,91,1740000,
2008,11,adana,karaisali,adana karaisali salbas mevkii lise16 - hatay iskenderun lise24 - kahramanmaras afsin 300 kisilik pansiyon,umut ins. tic. turz ve san. ltd. sti.,altyapi_sosyal,659,93,7499000,
2009,4,adana,yuregir,"adana yuregir buruk mevkii 1'er adet lise(24), spor salonu, 200 kisilik pansiyon, kargakekec mevkii 1'er adet 24 derslikli lise, spor salonu, 300 kisilik pansiyon, boynuyogun mevkii lise(32) insaatlari ile altyapi ve cevre duzenlemesi insaati isleri",acar kardesler,altyapi_sosyal,667,99,17452515,
2009,12,adana,karaisali,"adana karaisali selampinar 5 adet ikili yasam birimi, 1 adet ortak kullanim alani insaatlari ile altyapi ve cevre duzenlemesi insaati isi",ase ins.taah.tic.ltd.sti.,altyapi_sosyal,689,99,1895000,
2011,6,adana,yuregir,"adana ili yuregir ilcesi camlibel mah. 1 adet 32 derslikli lise, adana ili yuregir ilcesi dogankent mah. 1 adet 32 derslikli lise ve adana ili seyhan ilcesi sarihamzali mah. 1 adet 24 derslikli lise insaatlari ile altyapi ve cevre duzenlemesi isi",ozgurtas ins. san. ve tic. ltd. sti. &amp; ase ins. taah. ve tic. ltd. sti. is ort.,altyapi_sosyal,724,98,11488000,
2011,10,adana,yumurtalik,adana yumurtalik 3 hekimlik aile saglik merkezi ve eczane,murat toparlak &amp; yurtlar yapi ins. taah. tic. ltd. sti. is ort.,altyapi_sosyal,742,88,4922000,
2012,1,adana,seyhan,adana ili seyhan ilcesi akkapi mah. 32 derslikli ilkogretim okulu insaati ile altyapi ve cevre duzenlemesi isi,gen-ka ins. yapi mal. taah. san. ve tic. ltd.sti.,altyapi_sosyal,753,98,3663000,
2012,4,adana,ceyhan,adana ceyhan 250 yatakli devlet hastanesi insaati isi,kart ins dek. ltd. sti.,altyapi_sosyal,769,27,39629000,
2013,8,adana,seyhan,"adana seyhan, kilis polateli 1'er adet 3 hekimlik aile saglik merkezi ve eczane ile altyapi ve cevre duzenlemesi insaati isi",mehmet sait kelekcioglu - msk insaat,altyapi_sosyal,816,90,1106000,
2013,10,adana,yuregir,"adana ili yuregir ilcesi karsiyaka mahallesi 1'er adet 24 derslikli endustri meslek lisesi, metal atolyesi, mobilya atolyesi, tesviye atolyesi ve cok amacli atolye insaatlari ile altyapi ve cevre duzenlemesi isi",oz orallar ins. san. ve tic. ltd. sti.,altyapi_sosyal,828,98,7770000,
2020,6,adana,seyhan,adana asagi seyhan yedigoze imamoglu sulamasi 3 merhale projesi (imamoglu sulamasi 3 kisim ikmali) insaati  (e-ihale),gurbag insaat muhendislik madencilik san. ve tic. a.s.,altyapi_sosyal,900,0,283171275,
2005,2,adana,yuregir,adana merkez yuregir 1. bolge,on-ba ins. nak. taah. ith .ihr. san. ve tic. ltd. sti.,idare_konut,103,100,6990000,212
2006,6,adana,seyhan,adana seyhan-zincirlibaglar,ekinciler ve ort. ins. ve tic. a.s. &amp; dag yapi ins. teks. san.ve tic. ltd. sti. is ortakligi,idare_konut,169,100,61000000,1084
2007,5,adana,karaisali,adana karaisali 2.etap 96 konut,erek ins. taah. turz. tic. ve san. ltd. sti.,idare_konut,209,100,3670000,96
2016,11,adana,saricam,"adana ili saricam ilcesi, buruk mahallesi 283 adet konut, 2 dukkanli 1 adet ticaret ve camii insaatlari ile altyapi ve cevre duzenlemesi isi
",yeni fidan ins. nak. gida pet. dog. is mak. san. ve tic. ltd. sti.,idare_konut,462,100,33870000,283
2005,3,adana,yuregir,adana yuregir 2. bolge,kasva ins. ltd. sti.,idare_konut,477,97,18889000,580
2005,9,adana,yuregir,adana sofulu 1. bolge,az-uz ins.tic.ve san. ltd. sti&amp; oba turz. otelcilik ins.tic. a.s. is ortakligi,idare_konut,481,98,22140000,784
2005,9,adana,yuregir,adana kargakekec 1. bolge,karatas ins.mak.ve san.tic.a.s.,idare_konut,482,98,11630000,336
2020,3,adana,saricam,"adana ili, saricam ilcesi, buruk mahallesi 2.etap 3. bolge 802 adet konut  insaatlari ile altyapi ve cevre duzenlemesi isi",kayasan yapi ins. san. ve tic. ltd. sti.,idare_konut,648,35,146200000,802
2020,3,adana,saricam,"adana ili, saricam ilcesi, buruk mahallesi 2. etap 4. bolge 619 adet konut  insaatlari ile altyapi ve cevre duzenlemesi isi",dizmanlar gayrimenkul yat. loj. san. ve tic. a.s. &amp; aydin ins. taah. san. ve tic. ltd. sti. is ortakligi,idare_konut,649,40,114525000,619
2012,12,adana,seyhan,adana seyhan sosyal guvenlik merkez mudurlugu (sgk) hizmet binasi,avcilar gida ins. san. ve tic. ltd. sti.,kamu_hizmet,17,100,8975000,
2014,7,adana,yuregir,adana ili yuregir ilcesi sosyal guvenlik kurumu (sgk) merkez mudurlugu hizmet binasi insaati ile altyapi ve cevre duzenlemesi isi,dem-ba ins. taah. tur. reklam gida ith. ihr. san.  tic. ve san. ltd. sti.,kamu_hizmet,30,100,5081676,
2012,12,adana,yuregir,adana yuregir halk egitim merkezi (ikmal ihalesi seyhan sgk ile birlikte 19/12/2012 yapilmistir),avcilar gida ins. san. ve tic. ltd. sti.,kamu_hizmet,72,91,,
2019,4,adana,cukurova,adana ili cukurova ilcesi hukumet konagi insaati ile altyapi ve cevre duzenlemesi isi,halil avci ins. muh. mut.,kamu_hizmet,121,92,25344000,
2020,11,adana,yumurtalik,"adana ili, yumurtalik hukumet konagi insaati ile altyapi ve cevre duzenlemesi isi	 (e- ihale)
",halil avci insaat anonim sirketi,kamu_hizmet,140,0,9137000,
2007,4,adana,seyhan,adana seyhan gurselpasa,aybu ins. san. ve tic. ltd. sti. &amp; sagir ins. gida teks. tur. san. ve tic. ltd. sti. is ortakligi,kentsel_donusum,29,100,10763000,224
2012,5,adana,seyhan,adana seyhan baris mahallesi 1. etap kentsel yenileme (gecekondu donusum) projesi 1398 adet konut ile altyapi ve cevre duzenlemesi isi,eryapi sanayi ve ticaret ltd. sti.,kentsel_donusum,76,100,107245000,1398
2013,11,adana,yuregir,"adana yuregir kisla mahallesi kentsel donusum ve gelisim projesi kapsaminda 772 adet konut, 43 adet isyeri ve park alani ile altyapi ve cevre duzenlemesi insaati isleri",okcuoglu ins. muh.san.tic. a.s &amp; yeni fidan ins. nak.pet. dog. is mak. san.tic.ltd.sti. is ortakligi,kentsel_donusum,89,100,86840000,772
2016,7,adana,seyhan,"adana seyhan ismetpasa baris mahallesi kentsel donusum ve gelisim projesi 1.etap, 2.kisim 1202 konut, 1 adet cami, 27 adet ticaret insaatlari ile altyapi ve cevre duzenlemesi isi
",gucar ins. tic. ve san. a. s.,kentsel_donusum,166,97,130700000,1202
2018,6,adana,seyhan,"adana ili, seyhan ilcesi, barbaros ve bey mahalleleri kentsel donusum ve gelisim projesi 1.etap 627 adet konut ve 22 adet dukkan insaatlari ile altyapi ve cevre duzenlemesi isi",kahraman ins. ve tic. ltd. sti.,kentsel_donusum,201,2,89740000,627
2018,6,adana,seyhan,"adana ili, seyhan ilcesi, barbaros ve bey mahalleleri kentsel donusum ve gelisim projesi 2.etap 923 adet konut ve 14 adet dukkan insaatlari ile altyapi ve cevre duzenlemesi isi",grsi ins. san. ve tic. a.s. &amp; gaziantep gold yapi ins. taah. san. ve tic. ltd. sti.  is ortakligi,kentsel_donusum,202,1,134619000,923
2005,8,adana,aladag,"adana sofulu 2. bolge + sosyal donati (ilkogretim(24), saglik ocagi, ticaret merkezi, cami)",cukurova ins.san.ve tic.a.s.,konut_sosyal_donati,27,100,12482062,308
2010,2,adana,yuregir,"adana yuregir akkuyu 2. bolge 328 konut, ticaret merkezi, 24 derslikli ilkogretim okulu ve camii genel, adaici altyapi ve cevre duzenlemesi insaati isleri",abdurrahman sirin ins. san. tic. ltd. sti.,konut_sosyal_donati,203,100,13895000,328
2011,7,adana,saricam,"adana saricam sulucak koyu 1224 adet konut 1'er adet 32 derslikli ilkogretim okulu, cami, ticaret merkezi, sosyal tesis, ile altyapi ve cevre duzenlemesi insaati isi",niyazi bayramoglu ve mercan ins. ve tic. ltd. sti. is ort.,konut_sosyal_donati,235,100,45788000,1224
2016,4,adana,ceyhan,adana ili ceyhan ilcesi 499 adet konut ve 1 adet ticari bina insaati ile altyapi ve cevre duzenlemesi isi,begum yapi turz. tarim ve hayv. tic. ve san. ltd. sti. &amp; yeni fidan ins. nak. gida pet. dog. is mak. san. ve tic. ltd. sti. is ortakligi,konut_sosyal_donati,303,100,54817000,499
2013,4,adana,saricam,adana saricam balcali mevkii mustesarlik hizmet binalari ve sosyal donati,balkent ins.ith.ihr.tic.ve san ltd.sti,konut_sosyal_donati,374,90,22597000,88
2013,6,adana,yuregir,"adana ili yuregir ilcesi koprulu mahallesi 230 adet konut, 1' er adet teshin merkezi, trafo ve cevre emniyet sistemi insaati  ile altyapi ve cevre duzenlemesi isi",ozorallar ins. san. ve tic. ltd. sti.,konut_sosyal_donati,376,99,20533000,230
2016,2,adana,saricam,"adana ili saricam ilcesi, buruk mahallesi 825 adet konut, 1adet kafe, 1 adet mescit ve 2 bufe insaatlari ile altyapi ve cevre duzenlemesi isi",gucar ins. tic. ve san. a. s.,konut_sosyal_donati,388,97,87244000,825
2019,12,adana,saricam,"adana ili, saricam ilcesi, buruk mahallesi 2. etap 1. bolge 440 adet konut , 21 adet dukkan ve 1 adet cami insaatlari ile altyapi ve cevre duzenlemesi isi",osman acar ins. gida enerji san. ve tic. ltd. sti.,konut_sosyal_donati,427,36,89328000,440
2019,12,adana,saricam,"adana ili, saricam ilcesi, buruk mahallesi 2. etap 2. bolge 473 adet konut , 13 dukkan ve 1 adet cami insaatlari ile altyapi ve cevre diuzenlemesi isi",caba ins. enerj. turizm. san. ve tic. a.s.,konut_sosyal_donati,428,37,88099000,473
2020,6,adana,saricam,"adana ili, saricam ilcesi, buruk mahallesi, 3. etap 953 adet konut ve 42 adet dukkan insaatlari ile altyapi ve cevre duzenlemesi isi (e-ihale)",polen ins. muh. nak. gida taah. san. ve tic. ltd. sti. &amp; dibay insaat turizm muhendislik telekominikasyon nakliyat sanayi ve ticaret limited sirketi is ortakligi,konut_sosyal_donati,436,9,145225000,953
2020,11,adana,saricam,adana ili saricam ilcesi  akkuyu mahallesi 820 adet konut insaati ile altyapi ve cevre duzenlemesi isi,dizmanlar gayrimenkul yatirim lojistik sanayi ve ticaret anonim sirketi,konut_sosyal_donati,474,0,135947000,820
2008,2,adana,yuregir,adana - yuregir - buruk (tarimkoy),alanici ins. ima.taah.turz.teks.san.tic.ltd.sti.&amp;yitas muh.ins.malz.taah.plan proje teks. nak. turz.,tarimkoy,14,100,6064000,113
2008,2,adana,yuregir,"adana merkez kurkculer konut + ticaret merkezi, ilkogretim5, cami, sadirvan, saglik ocagi",alanici ins. ima. taah.turz.teks.san.tic.ltd.sti.&amp;yitas muh.ins.malz.taah.plan proje teks.nak.turz.,tarimkoy,33,97,6694000,97
2013,4,adana,saricam,adana 33.000 seyirci kapasiteli stadyum insaati ile altyapi ve cevre duzenlemesi insaati isi,alkatas ins. ve taah. a.s. &amp; ilgazlar ins. tic. ve san. a.s. is ortakligi,stadyum,15,99,114444412,
2016,11,adana,yuregir,"adana ili yuregir ilcesi havutlu mahallesi 257 ada 3 parsel 283 adet konut , 1 adet ticaret merkezi insaati ile altyapi ve cevre duzenlemesi isi
",aydin ins. taah. san. ve tic. ltd. sti.,talep_organizasyon,90,97,31419000,283
2020,11,adana,seyhan,"adana ili seyhan ilcesi 24' er derslikli toros ilkokulu, omer haluk ozucak ilkokulu, sehit gokhan aygul ilkokulu ve yuregir ilcesi 24 derslikli 100. yil yahya kemal beyatli ilkokulu insaatlari ile altyapi ve cevre duzenlemesi isi",doganlar insaat elektrik taahhut petrol turizm tarim sanayi ve ticaret limited sirketi,protokol_meb,26,0,27675000,
2006,11,adana,yuregir,adana-merkez-yuregir 400 yatakli hastane,dag yapi ins. teks. san.ve tic. ltd. sti. ve ekinciler ve ort. ins. ve tic. a.s. is ortakligi,altyapi_sosyal,629,99,59995000,
2008,11,adiyaman,besni,"adiyaman besni lisesi - adiyaman merkez organize sanayi bolgesi lisesi, bilgisayar atolyesi, elektrik atolyesi, elektronik atolyesi, tesviye atolyesi, motor atolyesi, konfeksiyon atolyesi  sanliurfa harran kiz meslek lisesi",sagir ins. gida teks. tur. san. ve tic. ltd. sti.,altyapi_sosyal,161,100,,
2010,3,adiyaman,kahta,adiyaman kahta meslek yuksek okulu ile altyapi ve cevre duzenlemesi insaati isi,md ins. elek. san. tic. ltd. sti.,altyapi_sosyal,259,100,4414000,
2011,7,adiyaman,merkez,adiyaman ili merkez ilcesi toplum merkezi ile altyapi ve cevre duzenlemesi insaati isi,burkay arik ins. mak. tic. san. ltd. sti.,altyapi_sosyal,329,100,1510000,
2012,12,adiyaman,merkez,"adiyaman ili merkez ilcesi karicik mevkii 1 adet 16 derslikli cok programli lise, yesilyurt mahallesi kaviyolu mevkii 1 adet 32 derslikli ilkogretim okulu ile altyapi ve cevre duzenlemesi insaati isi",bulent eroglu &amp; tuncay demirel is ortakligi,altyapi_sosyal,452,100,7423000,
2009,8,adiyaman,besni,"adiyaman besni 75 yatakli hastane ve lojman binasi, yukarisarhan mah. 8 derslikli ilkogretim okulu insaatlari ile altyapi ve cevre duzenleme isleri",gungor tarim insaat san.tic.a.s.,altyapi_sosyal,675,98,17865000,
2009,9,adiyaman,merkez,"adiyaman 400 yatakli devlet hastanesi, lojman",turkerler ins. turz. mad. enerji tic. san. a.s.,altyapi_sosyal,677,92,68430000,
2013,9,adiyaman,besni,adiyaman ili besni ilcesi 300 kisilik yurt insaati ile altyapi ve cevre duzenlemesi isi,sagir ins. gida teks. turz. san. ve tic. ltd. sti.,altyapi_sosyal,827,98,7840000,
2020,6,adiyaman,kahta,adiyaman kahta kocali baraji ana iletim hatti ve sulamasi insaati (e-ihale),"teskon proses degerli madenler finansal danismanlik ticaret limited sirketi, best tasarim insaat anonim sirketi, mustafa eksi insaat turizm san ve tic. ltd. sti is ortakligi",altyapi_sosyal,901,0,578533000,
2020,6,adiyaman,merkez,adiyaman gomukan sulama insaati  (e-ihale),,altyapi_sosyal,902,,,
2003,,adiyaman,golbasi,adiyaman golbasi 128 adet konut insaati,ozuyar ins.tic.ltd.sti,idare_konut,5,100,3489000,128
2003,,adiyaman,kahta,adiyaman kahta 192 adet konut insaati,su-gen insaat san. ve tic.ltd.sti,idare_konut,6,100,6489790,192
2005,4,adiyaman,merkez,adiyaman merkez esentepe 1. bolge,guc-ar ins. san. tic. a.s. &amp; sima ins.taah.san.ve tic.ltd.sti. is ortakligi,idare_konut,113,100,14480000,468
2005,5,adiyaman,merkez,"adiyaman merkez esentepe 2. bolge + sosyal donati (ilkogretim24, ticaret merkezi, cami, yemekhane, sadirvan)",ilci ins.san. ve tic.a.s. &amp; md ins.elekt.san.tic.ltd.sti. ortak girisimi,idare_konut,114,100,9449000,200
2005,10,adiyaman,besni,"adiyaman besni pinarbasi 2. etap + sosyal donati (cami, ticaret merkezi) (64 konut alt gelir)",karatas ins.mak.ve san.tic.a.s.,idare_konut,139,100,10830000,260
2011,11,adiyaman,merkez,adiyaman merkez ilce esentepe mahallesi 160 adet konut ve 1 adet ticaret merkezi ile  altyapi ve cevre duzenlemesi insaati isi,erkut ins. yapi end. san. tic.  a. s.,idare_konut,337,100,9592000,160
2011,12,adiyaman,kahta,adiyaman ili kahta ilcesi hurriyet mah. 192  adet konut insaati ile altyapi ve cevre duzenlemesi isi,erkut ins. yapi end. san. tic.  a. s.,idare_konut,339,100,10750000,192
2004,6,adiyaman,besni,adiyaman besni pinarbasi mah. 240 adet konut insaati,karatas ins.mak.ve san.tic.a.s.,idare_konut,469,98,6730800,240
2007,7,adiyaman,besni,"adiyaman besni pinarbasi 3. etap konut + 32 derslikli lise, spor salonu,cami (ikmal insaati)",mese ins. tur. gida san. ve paz. ltd. sti. &amp; akyuz ins. ve malz. hafr. nak. san. ve tic. ltd. sti.,idare_konut,504,98,2950000,168
2010,10,adiyaman,merkez,"adiyaman merkez 700 adet konut, 1'er adet 24 derslikli ilkogretim okulu, sosyal tesis, ticaret merkezi, cami, ile altyapi ve cevre duzenlemesi isi",erkut ins.yapi end.san. tic. a.s.,idare_konut,531,98,27840000,700
2015,7,adiyaman,besni,"adiyaman ili besni ilcesi 472 adet konut, 1’er adet 24 derslikli ilkogretim okulu, sosyal tesis, ticaret binasi ve camii insaatlari ile altyapi ve cevre duzenlemesi isi",sec ins. san. ve tic. tur. ltd. sti. &amp; metas ins. ith. ve ihr. hayv. gida tic. ltd. sti. is ortakligi,idare_konut,581,99,39900000,472
2015,6,adiyaman,kahta,adiyaman ili kahta ilcesi cami mahallesi halk egitim merkezi ile altyapi ve cevre duzenlemesi insaati isi (ikmâl insaati),mehmet kartal - elif ins. taah. ve muh. hizm.,ikmal_ihalesi,29,78,618000,
2016,8,adiyaman,celikhan,"adiyaman ili celikhan ilcesi 252 adet konut, 1'er adet cami, ticaret merkezi ve 16 derslikli ilkogretim okulu  ile altyapi ve cevre duzenlemesi insaatlari (ikmâl insaati)
",en-sa yapi ve ins. tur. nak. gida san. a.s.,ikmal_ihalesi,42,97,29244000,252
2017,1,adiyaman,gerger,adiyaman ili gerger ilcesi 110 adet konut ve 1 adet bufe insaatlari ile altyapi ve cevre duzenlemesi isi (ikmâl insaati),obm yapi end. tic. san. ltd. sti. &amp; protar yapi muh. ins. har. topr. dan. mus. taah. tic. a.s. is ortakligi,ikmal_ihalesi,46,96,2829000,110
2020,8,adiyaman,samsat,adiyaman ili samsat ilcesi hukumet konagi ve ek binasi insaatlari ile altyapi ve cevre duzenlemesi isi (e- ihale),ozan madencilik nakliyat ins. ith. ihr. san. ve tic. ltd. sti.,kamu_hizmet,137,21,13250000,
2020,10,adiyaman,merkez,"adiyaman ili merkez mara ve musalla mahalleleri kentsel donusum projesi 1. etap 484 adet konut (+6 kd) insaati ile altyapi ve cevre duzenlemesi isi (e- ihale)
","eneray yapi madencilik enerji ticaret ltd sti, denizler akaryakit madencilik insaat nakliye gida sanayi ve ticaret limited sirketi is ortakligi",kentsel_donusum,237,0,92850000,484
2009,6,adiyaman,golbasi,"adiyaman golbasi 2. etap 392 konut, 1 adet 24 derslikli ilkogretim okulu, 1 adet ticaret merkezi, 1 adet cami ile adaici, genel altyapi ve cevre duzenlemesi insaati",merkez yapi ins. taah. enerji ve gida san. tic. a.s.,konut_sosyal_donati,150,100,21875387,392
2012,7,adiyaman,merkez,"adiyaman merkez 363 adet konut, 1 adet ticaret merkezi ile altyapi ve cevre duzenlemesi insaati isi",erkut ins. yapi end. san. ve tic. a.s.,konut_sosyal_donati,254,100,25248000,363
2021,1,adiyaman,kahta,"adiyaman ili kahta ilcesi cobanli mahallesi 157 adet konut , 1 adet  bufe  insaati ile altyapi ve cevre duzenlemesi isi (e_ihale)",,konut_sosyal_donati,481,,,157
2008,6,adiyaman,samsat,adiyaman - samsat sahabe safvan bin muattal turbesi restorasyon,mahmut baykan,restorasyon,6,100,370000,
2021,1,adiyaman,merkez,"adiyaman ili, merkez ilcesi, petrol mahallesi 377 adet konut, 1 adet 6 dukkanli ticaret merkezi ve 1 adet cami insaati ile altyapi ve cevre duzenlemesi isi",,talep_organizasyon,217,,,377
2020,12,adiyaman,merkez,"adiyaman ili merkez ilcesi 16 derslikli zeynep turgut ortaokulu, golbasi ilcesi 8 derslikli mehmet akif ersoy ilkokulu ve 12 derslikli mimar sinan ilkokulu insaati ile altyapi ve cevre duzenlemesi insaati isi",,protokol_meb,28,,,
2020,12,adiyaman,celikhan,"adiyaman ili celikhan ilcesi cami mahallesi 12 derslikli pinarbasi ilk-ortaokulu, bistikhan mahallesi 8 derslikli yunus emre ortaokulu ve kahta ilcesi bolukyayla mahallesi 12 derslikli bolukyayla ilkokulu ile altyapi ve cevre duzenlemesi insaati isi",,protokol_meb,30,,,
2020,7,adiyaman,besni,"adiyaman ili, besni ilcesi, erdemoglu mahallesi millet bahcesi ve millet bahcesine ait sosyal donatilar insaatlari ile altyapi ve cevre duzenlemesi isi (e-ihale)",saban peker &amp; yeni mutlu insaat elektrik elektronik nakliyat gida sanayi ve ticaret limited sirketi is ortakligi,millet_bahcesi,40,90,8140854,
2020,7,adiyaman,merkez,"adiyaman ili, merkez ilcesi millet bahcesi ve millet bahcesine ait sosyal ile ilgili donatilar insaatlari ile altyapi ve cevre duzenlemesi isi (e-ihale)
",durmaz otomotiv petrol urunleri insaat sanayi ve ticaret anonim sirketi,millet_bahcesi,43,13,66821000,
2008,5,adiyaman,kahta,adiyaman-kahta  150 yatakli devlet hastanesi,md. ins. elk. san. tic. ltd. sti.,konut_sosyal_donati,128,100,18238000,
2009,11,adiyaman,merkez,"adiyaman-merkez lise-24 + 200 kisilik pansiyon; merkez baglidere mah. cinarlikuyu mevkii 260 kisilik erkek + 240 kisilik kiz pansiyonu, 192 kisilik guzel sanatlar lisesi, 192 kisilik pansiyon, 500 kisilik konser salonu insaati.",hiperbol ins. paz .ltd. sti.&amp; ser-di nak.ins. pet.urunleri haz.yem.mucv.san.tic.ltd.sti.ort.girisim,altyapi_sosyal,233,100,13450570,
2009,1,afyonkarahisar,dinar,"afyon dinar 1 adet anadolu ogretmen 24 derslikli lise, 200 kisilik ogrenci pansiyonu, altyapi ve cevre duzenlemesi insaati isleri",tuna muh. san. tic. ltd. sti.,altyapi_sosyal,169,100,4927000,
2012,8,afyonkarahisar,emirdag,afyon ili emirdag ilcesi 500 kisilik (536 kisi kapasiteli) yurt binasi ve sosyal tesis ile altyapi ve cevre duzenlemesi insaati isi,harun oguz &amp; geskon ins. enerji san. ve tic. ltd. sti. &amp; may is elektronik ve yapi san. a.s. is orta,altyapi_sosyal,426,100,11200000,
2013,12,afyonkarahisar,sinanpasa,afyon 26 agustos tabiat parki tanitim merkezi (panoramik muze) binasi ve mustemilatinin yapim insaati isi,rasit canbaz - rasit canbaz yapi muhendisligi,altyapi_sosyal,836,97,8989000,
